stt,en,vi,ipa
1,I get up.,Tớ thức dậy.,aɪ ɡɛt ap
2,I’m yawning.,Tớ đang ngáp.,aɪ m yawning
3,I’m sleepy.,Tớ đang buồn ngủ.,aɪ m ˈsliːpi
4,I wash my face.,Tớ rửa mặt.,aɪ wɑʃ mi feɪs
5,The water is cold.,Nước rất lạnh.,ði ˈwoːtə is kɔʊld
6,I can’t open my eyes.,Tớ không thể mở mắt.,aɪ ˈkæn t /ˈəʊ.pən/ mi aɪz
7,I drink some milk.,Tớ uống 1 chút sữa.,aɪ dɹɪŋk sɐm mɛlk
8,I like milk.,Tớ thích sữa.,aɪ laɪk mɛlk
9,I eat toast.,Tớ ăn bánh mì nướng.,aɪ iːt təʊst
10,I wipe my mouth.,Tớ lau miệng.,aɪ waɪp mi mʌʊθ
11,The toast and the milk are good.,Bánh mì nướng và sữa rất ngon.,ði təʊst and ði mɛlk ɛə ɡʊ(d)
12,I’m getting full.,Tớ no rồi.,aɪ m ˈɡɛɾɪŋ fʊl
13,I take off my pajamas.,Tớ cởi quần áo ngủ.,aɪ teɪk off my pajamas
14,I finish my breakfast.,Tớ đã ăn sáng xong.,i finish my breakfast
15,What shall I wear?,Tớ nên mặc gì đây?,what shall i wear
16,I put on my clothes.,Tớ mặc quần áo.,i put on my clothes
17,I wear my underpants.,Tớ mặc quần chíp.,i wear my underpants
18,I can’t see anything now.,Lúc này tớ không thể nhìn thấy gì cả.,i can t see anything now
19,I put on my pink blouse.,Tớ mặc chiếc áo hồng.,aɪ pʊt ɒn mi pɪŋk blaʊs
20,I button up my blouse.,Tớ cài cúc áo.,aɪ ˈbʌtn̩ ap mi blaʊs
21,This blouse has three buttons.,Chiếc áo này có 3 cái cúc.,ðəs blaʊs has θɹiː ˈbʌtn̩z
22,I put on my green skirt.,Tớ mặc chiếc váy xanh lá cây.,aɪ pʊt ɒn mi ɡɹiːn skɜːt
23,This is my favorite skirt.,Đây là chiếc váy tớ thích.,ðəs is mi ˈfeɪv.ɹɪt skɜːt
24,Do I look pretty?,Trông tớ có xinh không?,dʉː aɪ look pretty
25,I look at some pretty flowers.,Tớ ngắm một vài bông hoa đẹp.,i look at some pretty flowers
26,They smell good.,Chúng rất thơm.,they smell good
27,Mommy takes care of these flowers.,Mẹ chăm sóc những bông hoa này.,mommy takes care of these flowers
28,I pour some misosoup over rice.,Tớ chan súp miso (canh tương) lên cơm.,i pour some misosoup over rice
29,Mommy doesn’t like me to do so.,Mẹ không thích tớ làm như vậy.,mommy doesn t like me to dʉː səʊ
30,I spill my miso soup.,Tớ làm súp tràn ra ngoài.,aɪ spɪl mi ˈmiːsəʊ suːp
31,I walk.,Tớ đi bộ.,aɪ /wɔːk/
32,I walk to school.,Tớ đi bộ đến trường.,aɪ /wɔːk/ tʉː skuːl
33,I wear my green shoes.,Tớ đi đôi giầy màu xanh lá.,aɪ wɛə mi ɡɹiːn ʃuːz
34,I water the flowers.,Tớ tưới hoa.,aɪ ˈwoːtə ði ˈflaʊ.əz
35,Tulips are colorful.,Hoa tuy-lip rất sặc sỡ.,tulips ɛə ˈkʌləfəl
36,I use my watering can.,Tớ dùng bình tưới hoa của mình.,aɪ use mi watering ˈkæn
37,I water the garden.,Tớ tưới nước cho khu vườn.,aɪ ˈwoːtə ði /ˈɡɑːdn̩/
38,I fill my watering can.,Tớ lấy đầy nước vào bình.,aɪ fɪl mi watering ˈkæn
39,It’s hot today.,Hôm nay trời nóng.,ɪt s hɒt təˈdeɪ
40,I swim in the ocean.,Tớ bơi ở biển.,aɪ swɪm ɪn ði ocean
41,I wear my swimsuit and bathing cap.,Tớ mặc bộ đồ bơi và mũ tắm.,i wear my swimsuit and bathing cap
42,I can swim very well.,Tớ có thể bơi rất tốt.,i can swim very well
43,I eat ice cream.,Tớ ăn kem.,i eat ice cream
44,I’m hot.,Tớ thấy nóng.,i m hot
45,I’m sweating.,Tớ đang đổ mồ hôi.,i m sweating
46,I turn on the water.,Tớ mở nước.,aɪ /tɜːn/ ɒn ði ˈwoːtə
47,I run the water.,Tớ cho nước chảy.,aɪ /ɹʊn/ ði ˈwoːtə
48,I look at the water running.,Tớ nhìn nước chảy.,aɪ look at ði ˈwoːtə ˈɹʌnɪŋ
49,I turn off the water.,Tớ khóa nước lại.,aɪ /tɜːn/ ɔːf ði ˈwoːtə
50,I save water.,Tớ tiết kiệm nước.,aɪ seɪv ˈwoːtə
51,Water is important.,Nước rất quan trọng.,ˈwoːtə is ɪmˈpɔːtənt
52,I put some soap in the washing machine.,Tớ đổ một chút xà phòng vào máy giặt.,aɪ pʊt sɐm səʊp ɪn ði /ˈwɒʃɪŋ/ /məˈʃin/
53,I put in too much soap.,Tớ lỡ đổ quá nhiều xà phòng.,aɪ pʊt ɪn tuː mʌt͡ʃ səʊp
54,I do the laundry.,Tớ giặt đồ,aɪ dʉː ði ˈlɑn.dɹi
55,I put in dirty clothes.,Tớ cho quần áo bẩn vào.,aɪ pʊt ɪn ˈdɜːti kləʊ(ð)z
56,There are so many dirty clothes.,Có rất nhiều quần áo bẩn.,ðeː(ɹ) ɛə səʊ ˈmæni ˈdɜːti kləʊ(ð)z
57,I shouldn’t put in many clothes.,Tớ không nên cho quá nhiều quần áo vào máy giặt.,aɪ shouldn t pʊt ɪn ˈmæni clothes
58,I turn on the switch.,Tớ bật công tắc.,i turn on the switch
59,The washing machine starts working.,Máy giặt bắt đầu hoạt động.,the washing machine starts working
60,It’s noisy.,Nó rất ồn.,it s noisy
61,I wash the clothes with soap.,Tớ giặt quần áo với xà phòng.,i wash the clothes with soap
62,I wash some clothes by myself.,Tớ tự giặt một ít quần áo.,i wash some clothes by myself
63,I make a lather.,Tớ tạo ra bọt xà phòng.,aɪ meɪk æɪ /ˈlæ.ðə(ɹ)/
64,I rinse the clothes.,Tớ giũ quần áo.,aɪ ɹɛns ði kləʊ(ð)z
65,They are getting clean.,Quần áo sạch hơn rồi.,ðeɪ ɛə ˈɡɛɾɪŋ kleːn
66,I have to wring the water out of them.,Tớ phải vắt kiệt nước khỏi quần áo.,aɪ have tʉː ɹɪŋ ði ˈwoːtə æɔt ɔv /ðʌm/
67,I talk with Mommy.,Tớ nói chuyện với mẹ.,aɪ toːk with mommy
68,I carry the washing basket.,Tớ xách chiếc giỏ đựng quần áo.,aɪ ˈkæ.ɹi ði /ˈwɒʃɪŋ/ basket
69,I help Mommy.,Tớ giúp đỡ mẹ.,i help mommy
70,I hang the washing out.,Tớ phơi quần áo.,i hang the washing out
71,I’m standing on the stool.,Tớ đứng trên chiếc ghế đẩu.,i m standing on the stool
72,I put clothes pins on the clothes.,Tớ kẹp những chiếc ghim vào quần áo.,i put clothes pins on the clothes
73,I smooth it down.,Tớ kéo phẳng quần áo.,i smooth it daʊn
74,It will remove the wrinkles.,Nó sẽ làm các vết nhàu biến mất.,ɪt wɪl ɹɪˈmuːv ði wrinkles
75,I’m standing on tiptoes.,Tớ đang đứng trên mũi chân của mình.,aɪ m ˈstændɪŋ ɒn tiptoes
76,I hand a ladle to Mommy.,Tớ đưa cho mẹ một cái muỗng canh.,aɪ hænd æɪ ˈleɪ.dəl tʉː mommy
77,I help Mommy to cook.,Tớ giúp mẹ nấu ăn.,aɪ hɛlp mommy tʉː kuːk
78,We make lunch together.,Hai mẹ con tớ cùng nhau nấu bữa trưa.,wiː meɪk lʌnt͡ʃ together
79,I make noodles.,Tớ nấu mì.,i make noodles
80,I make the dough thinner.,Tớ làm cho bột mỏng hơn.,i make the dough thinner
81,I use the rolling pin.,Tớ dùng cây lăn bột.,i use the rolling pin
82,I leave the table.,Tớ rời khỏi bàn.,i leave the table
83,I finish setting the table.,Tớ đã sắp xếp bàn ăn xong.,i finish setting the table
84,Lunch is ready.,Bữa trưa đã sẵn sàng.,lʌnt͡ʃ is ˈɹɛdi
85,I finish my bowl.,Tớ đã ăn xong phần của mình.,aɪ ˈfɪnɪʃ mi bəʊɫ
86,It’s very tasty.,Nó rất ngon.,ɪt s ˈvɛɹi ˈteɪsti
87,I like noodles.,Tớ thích ăn mì.,aɪ laɪk ˈnuːd(ə)lz
88,I take a nap.,Tớ nghỉ trưa.,aɪ teɪk æɪ nap
89,My cat takes a nap too.,Mèo của tớ cũng nghỉ trưa.,mi kat teɪks æɪ nap tuː
90,I put a blanket on my tummy.,Tớ đắp chăn lên bụng của mình.,aɪ pʊt æɪ ˈblæŋkɪt ɒn mi ˈtʌm.i
91,I go into my room.,Tớ đi vào phòng mình.,aɪ ɡəʉ ˈɪn.tuː mi ɹuːm
92,I open the door.,Tớ mở cửa.,aɪ /ˈəʊ.pən/ ði dɔː
93,I have a soccer ball in my room.,Tớ có 1 quả bóng đá trong phòng của mình.,aɪ have æɪ soccer ball in my room
94,I change my shirt.,Tớ thay áo.,i change my shirt
95,It’s a purple shirt with black stripes.,Đó là một chiếc áo tím kẻ sọc.,it s a purple shirt with black stripes
96,I feel nice with the clean shirt.,Tớ cảm thấy dễ chịu với chiếc áo sạch sẽ.,i feel nice with the clean shirt
97,I play with water.,Tớ nghịch nước.,i play with water
98,There is a yatch and a ship in my basin.,Có một chiếc thuyền và một chiếc tàu ở trong bồn nước của tớ.,ðeː(ɹ) is æɪ yatch and æɪ ʃɪp ɪn mi ˈbeɪsɪn
99,It’s fun to play with a water pistol.,Thật thú vị khi chơi với một khẩu súng nước.,ɪt s fʊn tʉː pleɪ with æɪ ˈwoːtə ˈpɪstəl
100,I watch out for cars.,Tớ để ý những chiếc xe hơi.,aɪ wɒt͡ʃ æɔt for ˈkɑːz
101,I hold a yellow flag in my left hand.,Tớ cầm một lá cờ màu vàng ở tay trái.,i hold a yellow flag in my left hand
102,I look both ways very carefully.,Tớ nhìn cẩn thận cả hai bên đường.,i look both ways very carefully
103,I bite my friend.,Tớ cắn bạn tớ.,i bite my friend
104,My friend looks surprised.,Bạn tớ có vẻ rất sửng sốt.,my friend looks surprised
105,Sometimes we fight with each other.,Đôi khi chúng tớ còn cãi lộn với nhau.,sometimes we fight with each other
106,I hold his hand.,Tớ cầm tay cậu ấy.,i hold his hand
107,I like him.,Tớ quý cậu ấy.,i like him
108,We’re good friends.,Chúng tớ là bạn tốt của nhau.,we re good /fɹɛn(d)z/
109,I show him my goldfish.,Tớ cho cậu ấy xem con cá vàng.,i /ʃəʊ/ /əm/ /mi/ goldfish
110,It’s red.,Nó màu đỏ nữa.,/ɪt/ s /ɹɛd/
111,The goldfish swims slowly.,Con cá vàng bơi chầm chậm.,/ði/ goldfish swims /ˈsləʊli/
112,I take off my shoes.,Tớ bỏ giầy.,i /teɪk/ /ɔːf/ /mi/ /ʃuːz/
113,I don’t wear socks.,Tớ không đi tất.,i /dɒn/ t /wɛə/ /sɒks/
114,I walk barefoot.,Tớ đi chân trần.,i /wɔːk/ barefoot
115,I ride my bicycle.,Tớ đi xe đạp.,i ride my bicycle
116,I can ride it very well.,Tớ có thể đi xe đạp rất tốt.,i can ride it very well
117,Cool air feels nice.,Không khí mát mẻ thật dễ chịu.,cool air feels nice
118,I take a picture.,Tớ chụp 1 bức ảnh.,i take a picture
119,My dog poses for a picture.,Con chó của tớ tạo dáng.,my dog poses for a picture
120,He wears a red tie.,Nó đeo một cái nơ đỏ.,he wears a red tie
121,I color the apple red.,Tớ tô quả táo màu đỏ.,i color the apple red
122,I color the banana yellow.,Tớ tô quả chuối màu vàng.,i color the banana yellow
123,I have many crayons.,Tớ có rất nhiều bút màu.,i have many crayons
124,I prepare the dinner.,Tớ chuẩn bị bữa tối.,i /pɹɪˈpɛə/ /ði/ /ˈdɪnə/
125,The pot is on the stove.,Cái nồi ở trên bếp ga.,/ði/ /pɒt/ is /ɒn/ /ði/ /stəʊv/
