stt,en,vi,ipa
401,My leg is bleeding.,Chân của tớ chảy máu.,mi leɪɡ is ˈbliːdɪŋ
402,I try not to cry.,Tớ cố không khóc.,aɪ tɹaɪ nɒt tʉː kɹaɪ̯
403,I cover myself up in the blanket.,Tớ đắp chăn lên người.,aɪ /ˈkʌvə/ maɪˈsɛlf ap ɪn ði ˈblæŋkɪt
404,I’m going to take a nap.,Tớ sẽ đi nghỉ trưa.,aɪ m ˈɡəʊɪŋ tʉː teɪk æɪ nap
405,I look at my toes under the blanket.,Tớ nhìn vào những ngón chân ở dưới chăn..,aɪ look at my toes under the blanket
406,I carry my school bag.,Tớ mang theo cặp sách.,i carry my school bag
407,It’s new.,Nó là cặp sách mới.,it s new
408,I think it’s suit me.,Tớ nghĩ nó rất hợp với tớ.,i think it s suit me
409,I forgot to gargle.,Tớ quên súc họng.,i forgot to gargle
410,I always gargle before I go out.,Tớ luôn luôn súc họng khi đi ra ngoài.,i ˈɔː(l).weɪz /ˈɡɑɹɡəl/ bɪˈfɔː aɪ ɡəʉ æɔt
411,It prevents catching a cold.,Nó giúp ngăn ngừa bị cảm lạnh.,ɪt prevents ˈkætʃɪŋ æɪ kɔʊld
412,I see a doctor.,Tớ gặp bác sĩ.,aɪ siː æɪ ˈdɒktə
413,I have a sore throat.,Tớ bị viêm họng.,aɪ have æɪ sɔː ˈθɹəʊt
414,He checks my throat.,Bác ấy kiểm tra họng của tớ.,heɪː tʃɛks mi ˈθɹəʊt
415,I get a shot.,Tớ bị tiêm.,aɪ ɡɛt æɪ ʃɒt
416,I roll up my left sleeve.,Tớ vén tay áo bên trái lên.,aɪ ɹəʊl ap mi lɛft sliːv
417,The shot is painful.,Tiêm rất đau.,ði ʃɒt is ˈpeɪn.fəl
418,I sing a song.,Tớ hát một bài hát.,aɪ sɪŋ æɪ sɒŋ
419,I sing along with the piano.,Tớ hát theo đàn piano.,aɪ sɪŋ əˈlɑŋ with ði piano
420,I clasp my hands behind my back.,Tớ nắm chặt tay mình ở đằng sau lưng.,i clasp my hands behind my back
421,I play the piano.,Tớ chơi đàn.,i play the piano
422,I practice it every day.,Tớ luyện tập mỗi ngày.,i practice it every day
423,I take a piano lesson once a week.,Tớ tham gia lớp học đàn piano mỗi tuần một lần.,i take a piano lesson once a week
424,I clap my hands.,Tớ vỗ tay.,aɪ klæp mi hæn(d)z
425,I watch a show.,Tớ xem một buổi trình diễn.,aɪ wɒt͡ʃ æɪ ʃəʊ
426,I clap my hands in time to the music.,Tớ vỗ tay theo nhạc.,aɪ klæp mi hæn(d)z ɪn tɑem tʉː ði ˈmjuːzɪk
427,I click my castanets.,Tớ bật chiêc castenet của tớ lên.,aɪ klɪk mi ˌkæs.tə.ˈnɛts
428,I spread my arms.,Tớ dang hai cánh tay.,aɪ spɹɛd mi ɑːmz
429,My next turn comes soon.,Sắp đến lượt tớ rồi.,mi nɛkst /tɜːn/ kʌmz suːn
430,I fold paper.,Tớ gấp giấy.,aɪ fəʊld ˈpeɪpə
431,I do origami.,Tớ gấp origami. ,aɪ dʉː ˌɒɹɪˈɡɑːmɪ
432,I make a triangle first.,"Đầu tiên, tớ gấp hình tam giác",aɪ meɪk æɪ ˈtɹaɪəŋɡəl fɪrst
433,I make a paper crane.,Tớ gấp một con hạc giấy.,aɪ meɪk æɪ ˈpeɪpə kɹeɪn
434,I made it very well.,Tớ gấp rất đẹp.,aɪ meɪd ɪt ˈvɛɹi wɛl
435,I have two more pieces of paper left.,Tớ còn hai tờ giấy nữa.,aɪ have tuː ˈmɔː ˈpiːsɪz of paper left
436,I fold paper in half.,Tớ gập giấy làm đôi.,i fold paper in half
437,It’s a big piece.,Đó là một mảnh giấy rất to.,it s a big piece
438,What shall I make next?,Tiếp theo tớ nên gập gì đây?,what shall i make next
439,I decorate the room with paper cranes.,Tớ trang trí phòng với những con hạc giấy.,i decorate the room with paper cranes
440,I hang it on the wall.,Tớ treo nó lên tường.,aɪ heɪŋ ɪt ɒn ði wɔːl
441,There is a picture on the wall too.,Có một bức tranh cũng được treo ở trên tường.,ðeː(ɹ) is æɪ ˈpɪktʃə ɒn ði wɔːl tuː
442,I get mad.,Tớ nổi giận.,aɪ ɡɛt ˈmæːd
443,I’m flushed with anger.,Mặt tớ đỏ bừng vì cơn giận.,aɪ m flʌʃt with ˈæŋɡə(ɹ)
444,I clench my fists.,Tớ nắm chặt hai nắm đấm.,aɪ klɛntʃ mi fɪsts
445,I show a picture story.,Tớ đưa ra một bức tranh trong một câu chuyện.,aɪ ʃəʊ æɪ ˈpɪktʃə ˈstɔː.ɹi
446,I put the pictures on the desk.,Tớ để bức tranh lên bàn.,aɪ pʊt ði ˈpɪktʃɚz ɒn ði dɛsk
447,I read the story in a very amusing way.,Tớ đọc truyện theo một cách rất vui vẻ.,aɪ ɹiːd ði ˈstɔː.ɹi ɪn æɪ very amusing way
448,I take my shirt out of the basket.,Tớ lấy áo ra khỏi giỏ.,i take my shirt out of the basket
449,Which is my shirt?,Cái nào là áo của tớ?,which is my shirt
450,I pick a blue shirt.,Tớ nhặt chiếc áo màu xanh lên.,i pick a blue shirt
