stt,en,vi,ipa
681,I pick up the receiver.,Tôi nhấc ống nghe lên.,i pick up the receiver
682,I take a ten yen coun out of my pocket.,Tôi lấy 10 yên ra khỏi túi.,i take a ten yen coun out of my pocket
683,I think ten yen is enough.,Tôi nghĩ 10 yên là đủ.,i think ten yen is enough
684,I make a local call.,Tôi gọi một cuộc gọinội mạng.,i make a local call
685,I put the coin in the telephone.,Tôi bỏ đồng xu vào máy.,aɪ pʊt ði kɔɪn ɪn ði ˈtɛləfəʊn
686,I put another coin in just in case.,Tôi bỏ thêm một đồng xu nữa để dự phòng.,aɪ pʊt /æˈnʌð.ə(ɹ)/ kɔɪn ɪn d͡ʒʌst ɪn keɪs
687,"If ten yen isn’t enough, the telephone goes dead suddenly.","Nếu 10 yên khôngđủ, thì điện thoại sẽngắt đột ngột.",ɪf tɛn jɛn isn t iˈnʌf ði ˈtɛləfəʊn ɡəʊz diːd ˈsʌdn̩li
688,I dial the number.,Tôi ấn số.,aɪ /ˈdaɪəɫ/ ði ˈnʌmbə
689,Who will answer the phone?,Ai sẽ trả lời điện thoại của Tôi nhỉ?,huː will answer the phone
690,I hope the line isn’t busy.,Tôi hi vọng đường dây không bận.,i hope the line isn t busy
691,I talk on the telephone.,Tôi nói chuyện qua điện thoại.,i talk on the telephone
692,I report on my sales to my boss.,Tôi báo cáo tình hình bán hàng tới ông chủ.,i report on my sales to my boss
693,I hang up.,Tôi kết thúc cuộc gọi.,i hang up
694,I walk down the stairs.,Tôi đi bộ xuống cầu thang.,aɪ /wɔːk/ daʊn ði ˈstɛəz
695,I watch for the steps.,Tôi chú ý bước đi cẩn thận.,aɪ wɒt͡ʃ for ði stɛps
696,I’m on the way to meet a new customer.,Tôi đang trên đườngđến gặp một kháchhàng mới.,aɪ m ɒn ði weɪ tʉː miːt æɪ njʉː ˈkʌstəmə
697,I look at the map.,Tôi nhìn vào bản đồ.,aɪ look at ði mæp
698,I check the place.,Tôi kiểm tra điểm đến.,aɪ t͡ʃɛk ði pleɪs
699,I’m not sure where the firm is.,Tôi không biết chắc công ty đó ở đâu.,aɪ m not sure where the firm is
700,I ask for directions.,Tôi hỏi đường đi.,i ask for directions
