Ký hiệu viết tắt,Từ loại tiếng Anh,Nghĩa tiếng Việt,Giải thích & Ví dụ
n,Noun,Danh từ,"Chỉ người, vật, địa điểm, khái niệm.

Ví dụ: border (biên giới), tourist (khách du lịch)."
v,Verb,Động từ,"Chỉ hành động, trạng thái hoặc quá trình.

Ví dụ: arrive (đến nơi), broaden (mở rộng)."
adj,Adjective,Tính từ,"Mô tả đặc điểm, tính chất cho danh từ.

Ví dụ: cultural (thuộc văn hóa), distant (xa xôi)."
adv,Adverb,Trạng từ,"Bổ nghĩa cho động từ, tính từ hoặc một trạng từ khác.

Ví dụ: worldwide (trên toàn thế giới), slowly (một cách chậm rãi)."
pron,Pronoun,Đại từ,"Thay thế cho danh từ để tránh lặp từ.

Ví dụ: he (anh ấy), they (họ), it (nó)."
prep,Preposition,Giới từ,"Diễn tả mối quan hệ vị trí, thời gian, hướng đi giữa các từ.

Ví dụ: at (tại), towards (hướng về phía), in (trong)."
conj,Conjunction,Liên từ,"Dùng để nối các từ, cụm từ hoặc các mệnh đề lại với nhau.

Ví dụ: and (và), but (nhưng), because (bởi vì)."
det,Determiner,Từ hạn định,"Đứng trước danh từ để giới hạn hoặc xác định danh từ đó.

Ví dụ: the, a/an, this (này), that (kia)."
phr,Phrase,Cụm từ,"Sự kết hợp của hai hay nhiều từ hoạt động như một đơn vị ý nghĩa.

Ví dụ: speed limit (giới hạn tốc độ), in advance (trước)."
v phr,Phrasal Verb,Cụm động từ,"Động từ kết hợp với giới từ hoặc trạng từ tạo nên nghĩa mới.

Ví dụ: catch up with (bắt kịp), see off (tiễn đưa)."
